name,year,miles,color,condition,price
Toyota Corolla,2022,"18,666 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,943"
Kia Forte,2021,"26,203 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$16,995"
Mercedes-Benz C-Class,2020,"15,038 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,072"
Genesis G70,2023,"4,818 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$37,000"
Toyota Prius,2022,"28,082 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$22,500"
Jeep Wrangler,2019,"82,313 miles","White exterior, Black interior","2 accidents reported, 1 Owner","$26,998"
Chevrolet Silverado 1500,2013,"70,971 miles","Black exterior, Black interior","No accidents reported, 4 Owners","$24,998"
Lexus NX,2020,"39,255 miles","White exterior, Red interior","No accidents reported, 1 Owner","$30,998"
Kia Optima,2020,"41,053 miles","White exterior, Black interior","No accidents reported, 2 Owners","$22,998"
Toyota Camry,2017,"75,710 miles","White exterior, Black interior","1 accident reported, 2 Owners","$16,499"
Jeep Wrangler,2019,"67,771 miles","White exterior, Black interior","No accidents reported, 2 Owners","$25,988"
Dodge Durango,2014,"135,292 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$12,999"
Nissan Sentra,2021,"24,044 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Mercedes-Benz GLE,2020,"55,376 miles","White exterior, Black interior","No accidents reported, 1 Owner","$36,998"
Audi Q7,2021,"38,785 miles","Tan exterior, Black interior","No accidents reported, 1 Owner","$42,998"
Lincoln Nautilus,2021,"7,425 miles","Tan exterior, Beige interior","No accidents reported, 1 Owner","$36,995"
Volkswagen Jetta,2019,"19,267 miles","White exterior, Black interior","No accidents reported, 1 Owner","$17,991"
Jeep Grand Cherokee,2020,"64,488 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,497"
Alfa Romeo Giulia,2022,55 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$30,541"
Ford Transit Connect Van,2019,"82,497 miles","White exterior, Black interior","No accidents reported, 1 Owner","$20,997"
Chevrolet Silverado 1500,2021,"41,233 miles","White exterior, Black interior","1 accident reported, 2 Owners","$32,197"
Volkswagen Tiguan,2017,"57,467 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$17,998"
Subaru Outback,2024,"5,699 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$34,800"
Chrysler 200,2015,"110,746 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$9,495"
Mercedes-Benz C-Class,2021,"15,387 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$33,009"
Audi A5,2023,"3,037 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$39,232"
Toyota Camry,2023,"14,771 miles","Unknown exterior, Unknown interior","No accidents reported, 1 Owner","$25,995"
Honda Civic,2017,"23,045 miles","Black exterior, Black interior","2 accidents reported, 1 Owner","$22,998"
Toyota Mirai,2019,"71,373 miles","Silver exterior, Blue interior","No accidents reported, 3 Owners","$8,998"
Volkswagen Atlas Cross Sport,2020,"27,839 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$27,998"
Subaru Outback,2021,"14,417 miles","Red exterior, Gray interior","No accidents reported, 1 Owner","$27,998"
Kia Soul,2022,"43,839 miles","White exterior, Black interior","No accidents reported, 1 Owner","$14,999"
Audi A3,2023,"1,008 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Chevrolet Equinox,2021,"12,663 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$20,777"
Audi Q7,2023,"8,581 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$51,623"
Mercedes-Benz GLB,2023,"9,015 miles","Red exterior, Gray interior","No accidents reported, 1 Owner","$42,558"
Hyundai Sonata,2013,"85,653 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$8,995"
Toyota Tacoma,2021,"21,044 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$33,998"
Subaru Outback,2021,"18,667 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$27,998"
Honda Civic,2016,"86,964 miles","Gray exterior, Gray interior","1 accident reported, 4 Owners","$13,399"
Jeep Grand Cherokee,2014,"63,200 miles","Blue exterior, Black interior","No accidents reported, 3 Owners","$18,998"
Mercedes-Benz GLK,2015,"38,846 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$18,999"
Rolls-Royce Dawn,2018,"14,272 miles","White exterior, Beige interior","No accidents reported, 2 Owners","$252,900"
BMW 3 Series,2019,"53,046 miles","White exterior, Beige interior","1 accident reported, 2 Owners","$21,999"
Mercedes-Benz GLC,2019,"19,494 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$27,998"
Mercedes-Benz GLC,2021,"11,858 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$31,933"
GMC Sierra 1500,2018,"76,896 miles","White exterior, Black interior","1 accident reported, 1 Owner","$35,998"
